Profile Summary
Generated on: 2020-05-05 00:42:41
Msec since Epoch: 1588639361628
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,520,7708.83,0.09917,14.8247,156.321,
clCreateBuffer,1120,2878.24,0.01666,2.56986,23.9787,
clReleaseMemObject,656,376.117,0.004627,0.573349,4.66939,
clEnqueueReadBuffer,45,341.673,0.148597,7.59272,40.8276,
clEnqueueTask,520,222.933,0.071679,0.428717,13.3517,
clCreateKernel,177,221.706,1.20811,1.25258,1.45979,
clCreateProgramWithBinary,1,213.736,213.736,213.736,213.736,
clSetKernelArg,4940,187.848,0.004674,0.0380259,6.00186,
clEnqueueWriteBuffer,274,36.0032,0.04697,0.131399,1.47163,
clReleaseEvent,520,4.74638,0.006635,0.00912765,0.03742,
clGetEventProfilingInfo,714,4.23456,0.004756,0.00593076,0.035114,
clReleaseKernel,163,1.07325,0.00579,0.00658434,0.030249,
clGetExtensionFunctionAddress,2,0.094405,0.016581,0.0472025,0.077824,
clGetPlatformInfo,14,0.072571,0.004664,0.00518364,0.007898,
clRetainDevice,4,0.04249,0.00486,0.0106225,0.025368,
clReleaseDevice,3,0.020364,0.005375,0.006788,0.009488,
clGetExtensionFunctionAddressForPlatform,2,0.017762,0.005764,0.008881,0.011998,
clGetDeviceIDs,2,0.017703,0.005313,0.0088515,0.01239,
clGetDeviceInfo,2,0.014335,0.006819,0.0071675,0.007516,
clCreateCommandQueue,1,0.011704,0.011704,0.011704,0.011704,
clCreateContext,1,0.011321,0.011321,0.011321,0.011321,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,350.891,2.45794,43.8613,98.5221,
task_conv2_1x1_direct,8,581.283,38.3976,72.6604,103.556,
task_datamover,1,0.105782,0.105782,0.105782,0.105782,
task_datamover,1,0.368737,0.368737,0.368737,0.368737,
task_datamover,1,16.7959,16.7959,16.7959,16.7959,
task_datamover,1,0.35738,0.35738,0.35738,0.35738,
task_datamover,2,41.8959,0.102631,20.948,41.7933,
task_datamover,1,5.31863,5.31863,5.31863,5.31863,
task_datamover,1,5.32166,5.32166,5.32166,5.32166,
task_datamover,2,33.6282,16.7967,16.8141,16.8315,
task_datamover,2,21.0668,0.098149,10.5334,20.9686,
task_datamover,3,42.0539,0.094366,14.018,20.9958,
task_datamover,1,0.092299,0.092299,0.092299,0.092299,
task_datamover,2,62.7728,20.9676,31.3864,41.8052,
task_datamover,1,0.441242,0.441242,0.441242,0.441242,
task_datamover,3,83.8269,20.983,27.9423,41.8063,
task_datamover,1,0.365247,0.365247,0.365247,0.365247,
task_datamover,1,5.32299,5.32299,5.32299,5.32299,
task_datamover,2,21.056,0.091546,10.528,20.9644,
task_datamover,2,41.9209,20.9533,20.9604,20.9676,
task_datamover,3,0.305454,0.085337,0.101818,0.119742,
task_datamover,1,0.104398,0.104398,0.104398,0.104398,
task_datamover,2,0.190488,0.091672,0.095244,0.098816,
task_datamover,1,0.092185,0.092185,0.092185,0.092185,
task_datamover,2,16.8943,0.101671,8.44715,16.7926,
task_datamover,1,0.097238,0.097238,0.097238,0.097238,
task_datamover,2,0.203603,0.096896,0.101801,0.106707,
task_datamover,1,0.108479,0.108479,0.108479,0.108479,
task_datamover,1,20.9677,20.9677,20.9677,20.9677,
task_datamover,1,0.089765,0.089765,0.089765,0.089765,
task_datamover,1,0.108689,0.108689,0.108689,0.108689,
task_datamover,1,20.967,20.967,20.967,20.967,
task_datamover,1,41.7947,41.7947,41.7947,41.7947,
task_datamover,3,18.6813,0.103059,6.2271,16.808,
task_datamover,2,0.208125,0.096069,0.104063,0.112056,
task_datamover,1,0.109593,0.109593,0.109593,0.109593,
task_datamover,2,0.20487,0.09749,0.102435,0.10738,
task_datamover,1,0.116922,0.116922,0.116922,0.116922,
task_datamover,1,0.099955,0.099955,0.099955,0.099955,
task_datamover,5,0.915758,0.097911,0.183152,0.514822,
task_datamover,4,60.9313,0.0921,15.2328,41.8023,
task_datamover,1,0.095464,0.095464,0.095464,0.095464,
task_datamover,1,0.097791,0.097791,0.097791,0.097791,
task_datamover,1,0.09952,0.09952,0.09952,0.09952,
task_datamover,1,16.7881,16.7881,16.7881,16.7881,
task_datamover,1,0.101809,0.101809,0.101809,0.101809,
task_datamover,2,0.16952,0.081195,0.08476,0.088325,
task_datamover,1,20.9672,20.9672,20.9672,20.9672,
task_datamover,1,5.36631,5.36631,5.36631,5.36631,
task_datamover,1,20.9583,20.9583,20.9583,20.9583,
task_datamover,1,0.096672,0.096672,0.096672,0.096672,
task_datamover,2,0.190479,0.095151,0.0952395,0.095328,
task_datamover,5,72.5798,1.15199,14.516,20.9546,
task_datamover,2,41.9047,0.095662,20.9523,41.809,
task_datamover,1,0.090664,0.090664,0.090664,0.090664,
task_datamover,1,0.103052,0.103052,0.103052,0.103052,
task_datamover,1,0.094136,0.094136,0.094136,0.094136,
task_datamover,1,0.103193,0.103193,0.103193,0.103193,
task_datamover,1,0.094744,0.094744,0.094744,0.094744,
task_datamover,2,10.6596,5.31108,5.32978,5.34848,
task_datamover,1,0.362801,0.362801,0.362801,0.362801,
task_datamover,1,0.096897,0.096897,0.096897,0.096897,
task_datamover,3,50.4342,16.7943,16.8114,16.8362,
task_datamover,1,0.094882,0.094882,0.094882,0.094882,
task_datamover,1,0.096772,0.096772,0.096772,0.096772,
task_datamover,1,0.374265,0.374265,0.374265,0.374265,
task_datamover,6,0.971695,0.079692,0.161949,0.522178,
task_datamover,1,0.100909,0.100909,0.100909,0.100909,
task_datamover,1,0.093305,0.093305,0.093305,0.093305,
task_datamover,2,0.203269,0.099168,0.101634,0.104101,
task_datamover,1,0.103889,0.103889,0.103889,0.103889,
task_datamover,6,18.9665,0.093202,3.16108,16.8077,
task_datamover,1,0.083968,0.083968,0.083968,0.083968,
task_datamover,1,0.08901,0.08901,0.08901,0.08901,
task_datamover,3,0.310244,0.088242,0.103415,0.133504,
task_datamover,1,0.093714,0.093714,0.093714,0.093714,
task_datamover,1,20.9678,20.9678,20.9678,20.9678,
task_datamover,1,16.9064,16.9064,16.9064,16.9064,
task_datamover,1,0.106055,0.106055,0.106055,0.106055,
task_datamover,1,20.9694,20.9694,20.9694,20.9694,
task_datamover,2,33.6381,16.8004,16.8191,16.8377,
task_datamover,2,22.1418,1.1691,11.0709,20.9727,
task_datamover,4,85.0212,1.1476,21.2553,41.8746,
task_datamover,2,21.0569,0.096999,10.5284,20.9599,
task_datamover,1,0.087588,0.087588,0.087588,0.087588,
task_datamover,1,21.0194,21.0194,21.0194,21.0194,
task_datamover,1,16.8043,16.8043,16.8043,16.8043,
task_datamover,2,83.5819,41.7872,41.7909,41.7947,
task_datamover,2,62.7842,20.964,31.3921,41.8202,
task_datamover,2,33.5955,16.7901,16.7977,16.8054,
task_datamover,1,0.09615,0.09615,0.09615,0.09615,
task_datamover,1,0.09213,0.09213,0.09213,0.09213,
task_datamover,1,20.9731,20.9731,20.9731,20.9731,
task_datamover,1,0.092531,0.092531,0.092531,0.092531,
task_datamover,2,22.1312,5.33301,11.0656,16.7982,
task_datamover,1,41.804,41.804,41.804,41.804,
task_datamover,3,33.6708,0.100202,11.2236,16.7879,
task_datamover,1,0.090384,0.090384,0.090384,0.090384,
task_datamover,1,0.10222,0.10222,0.10222,0.10222,
task_datamover,1,0.096074,0.096074,0.096074,0.096074,
task_datamover,2,0.176211,0.084802,0.0881055,0.091409,
task_datamover,1,0.10798,0.10798,0.10798,0.10798,
task_datamover,1,0.104433,0.104433,0.104433,0.104433,
task_gather,5,85.6516,6.11934,17.1303,24.467,
task_matmul,12,347.051,0.542023,28.921,105.694,
task_matops,219,1323.34,0.087095,6.04266,48.2951,
task_pad_last_dim,4,0.481545,0.112667,0.120386,0.128766,
task_reducemax,7,252.828,7.15543,36.1183,52.5776,
task_reducesum4d,36,2274.05,0.115765,63.1681,156.159,
task_reducesum,5,6.0473,1.19148,1.20946,1.23308,
task_relu_sqrt_square,29,224.103,0.088916,7.72768,45.4172,
task_tile,15,109.688,3.43426,7.31255,18.6304,
task_transpose,5,157.174,4.36727,31.4348,49.4985,
task_unpad_last_dim,4,99.3629,24.8264,24.8407,24.8704,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,45,1609.692473,16.767630,12039.5,336.570962,7.479355,
context0:1,WRITE,520,9036.253989,94.127646,8771.24,504.749343,0.970672,


