Timeline Trace
Generated on: 2020-05-05 00:42:41
Msec since Epoch: 1588639361628
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
343.931091,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
343.990641,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
344.002639,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
344.008915,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
344.018477,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
344.024126,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
344.02989,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
344.035058,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
344.043372,clGetPlatformInfo|General,START,,,,,,,,,,,4,
344.05127,clGetPlatformInfo|General,END,,,,,,,,,,,4,
344.056769,clGetPlatformInfo|General,START,,,,,,,,,,,5,
344.061753,clGetPlatformInfo|General,END,,,,,,,,,,,5,
344.075669,clGetPlatformInfo|General,START,,,,,,,,,,,6,
344.081272,clGetPlatformInfo|General,END,,,,,,,,,,,6,
344.085962,clGetPlatformInfo|General,START,,,,,,,,,,,7,
344.090695,clGetPlatformInfo|General,END,,,,,,,,,,,7,
344.095392,clGetPlatformInfo|General,START,,,,,,,,,,,8,
344.100382,clGetPlatformInfo|General,END,,,,,,,,,,,8,
344.10503,clGetPlatformInfo|General,START,,,,,,,,,,,9,
344.10978,clGetPlatformInfo|General,END,,,,,,,,,,,9,
344.114499,clGetPlatformInfo|General,START,,,,,,,,,,,10,
344.119396,clGetPlatformInfo|General,END,,,,,,,,,,,10,
344.12409,clGetPlatformInfo|General,START,,,,,,,,,,,11,
344.128754,clGetPlatformInfo|General,END,,,,,,,,,,,11,
344.133561,clGetPlatformInfo|General,START,,,,,,,,,,,12,
344.138604,clGetPlatformInfo|General,END,,,,,,,,,,,12,
344.143369,clGetPlatformInfo|General,START,,,,,,,,,,,13,
344.148049,clGetPlatformInfo|General,END,,,,,,,,,,,13,
344.152739,clGetPlatformInfo|General,START,,,,,,,,,,,14,
344.157531,clGetPlatformInfo|General,END,,,,,,,,,,,14,
344.162135,clGetPlatformInfo|General,START,,,,,,,,,,,15,
344.166857,clGetPlatformInfo|General,END,,,,,,,,,,,15,
344.186821,clGetPlatformInfo|General,START,,,,,,,,,,,16,
344.192762,clGetPlatformInfo|General,END,,,,,,,,,,,16,
344.204368,clGetPlatformInfo|General,START,,,,,,,,,,,17,
344.209242,clGetPlatformInfo|General,END,,,,,,,,,,,17,
344.255209,clGetDeviceIDs|General,START,,,,,,,,,,,18,
344.267599,clGetDeviceIDs|General,END,,,,,,,,,,,18,
344.274155,clGetDeviceIDs|General,START,,,,,,,,,,,19,
344.279468,clGetDeviceIDs|General,END,,,,,,,,,,,19,
344.289589,clRetainDevice|General,START,,,,,,,,,,,20,
344.295521,clRetainDevice|General,END,,,,,,,,,,,20,
344.313675,clRetainDevice|General,START,,,,,,,,,,,21,
344.320005,clRetainDevice|General,END,,,,,,,,,,,21,
344.32832,clCreateContext|General,START,,,,,,,,,,,22,
344.339641,clCreateContext|General,END,,,,,,,,,,,22,
344.351701,clCreateCommandQueue|General,START,,,,,,,,,,,23,
344.363405,clCreateCommandQueue|General,END,,,,,,,,,,,23,
344.370672,clGetDeviceInfo|General,START,,,,,,,,,,,24,
344.377491,clGetDeviceInfo|General,END,,,,,,,,,,,24,
344.382971,clGetDeviceInfo|General,START,,,,,,,,,,,25,
344.390487,clGetDeviceInfo|General,END,,,,,,,,,,,25,
344.515639,clRetainDevice|General,START,,,,,,,,,,,26,
344.541007,clRetainDevice|General,END,,,,,,,,,,,26,
344.547459,clRetainDevice|General,START,,,,,,,,,,,27,
344.552319,clRetainDevice|General,END,,,,,,,,,,,27,
344.563293,clCreateProgramWithBinary|General,START,,,,,,,,,,,28,
558.299589,clCreateProgramWithBinary|General,END,,,,,,,,,,,28,
558.327305,clReleaseDevice|General,START,,,,,,,,,,,29,
558.336793,clReleaseDevice|General,END,,,,,,,,,,,29,
558.342748,clReleaseDevice|General,START,,,,,,,,,,,30,
558.348249,clReleaseDevice|General,END,,,,,,,,,,,30,
558.354489,clReleaseDevice|General,START,,,,,,,,,,,31,
558.359864,clReleaseDevice|General,END,,,,,,,,,,,31,
558.397577,clCreateKernel|General,START,,,,,,,,,,,32,
559.725256,clCreateKernel|General,END,,,,,,,,,,,32,
559.736552,clCreateKernel|General,START,,,,,,,,,,,33,
560.953239,clCreateKernel|General,END,,,,,,,,,,,33,
560.961869,clCreateKernel|General,START,,,,,,,,,,,34,
562.180647,clCreateKernel|General,END,,,,,,,,,,,34,
562.189265,clCreateKernel|General,START,,,,,,,,,,,35,
563.401924,clCreateKernel|General,END,,,,,,,,,,,35,
563.410431,clCreateKernel|General,START,,,,,,,,,,,36,
564.63761,clCreateKernel|General,END,,,,,,,,,,,36,
564.646557,clCreateKernel|General,START,,,,,,,,,,,37,
565.861281,clCreateKernel|General,END,,,,,,,,,,,37,
565.869881,clCreateKernel|General,START,,,,,,,,,,,38,
567.078309,clCreateKernel|General,END,,,,,,,,,,,38,
567.086771,clCreateKernel|General,START,,,,,,,,,,,39,
568.296954,clCreateKernel|General,END,,,,,,,,,,,39,
568.305154,clCreateKernel|General,START,,,,,,,,,,,40,
569.513268,clCreateKernel|General,END,,,,,,,,,,,40,
569.529452,clCreateKernel|General,START,,,,,,,,,,,41,
570.748896,clCreateKernel|General,END,,,,,,,,,,,41,
570.757116,clCreateKernel|General,START,,,,,,,,,,,42,
