Timeline Trace
Generated on: 2020-06-10 19:36:36
Msec since Epoch: 1591817796142
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
330.847951,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
330.90295,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
330.913754,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
330.919553,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
330.928068,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
330.93354,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
330.93927,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
330.944254,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
330.952065,clGetPlatformInfo|General,START,,,,,,,,,,,4,
330.959234,clGetPlatformInfo|General,END,,,,,,,,,,,4,
330.964208,clGetPlatformInfo|General,START,,,,,,,,,,,5,
330.968962,clGetPlatformInfo|General,END,,,,,,,,,,,5,
330.980752,clGetPlatformInfo|General,START,,,,,,,,,,,6,
330.985749,clGetPlatformInfo|General,END,,,,,,,,,,,6,
330.99028,clGetPlatformInfo|General,START,,,,,,,,,,,7,
330.994848,clGetPlatformInfo|General,END,,,,,,,,,,,7,
330.999293,clGetPlatformInfo|General,START,,,,,,,,,,,8,
331.004026,clGetPlatformInfo|General,END,,,,,,,,,,,8,
331.008488,clGetPlatformInfo|General,START,,,,,,,,,,,9,
331.012955,clGetPlatformInfo|General,END,,,,,,,,,,,9,
331.017405,clGetPlatformInfo|General,START,,,,,,,,,,,10,
331.022088,clGetPlatformInfo|General,END,,,,,,,,,,,10,
331.026586,clGetPlatformInfo|General,START,,,,,,,,,,,11,
331.031014,clGetPlatformInfo|General,END,,,,,,,,,,,11,
331.035403,clGetPlatformInfo|General,START,,,,,,,,,,,12,
331.040143,clGetPlatformInfo|General,END,,,,,,,,,,,12,
331.044543,clGetPlatformInfo|General,START,,,,,,,,,,,13,
331.049032,clGetPlatformInfo|General,END,,,,,,,,,,,13,
331.053514,clGetPlatformInfo|General,START,,,,,,,,,,,14,
331.057946,clGetPlatformInfo|General,END,,,,,,,,,,,14,
331.062279,clGetPlatformInfo|General,START,,,,,,,,,,,15,
331.066705,clGetPlatformInfo|General,END,,,,,,,,,,,15,
331.082742,clGetPlatformInfo|General,START,,,,,,,,,,,16,
331.088067,clGetPlatformInfo|General,END,,,,,,,,,,,16,
331.092716,clGetPlatformInfo|General,START,,,,,,,,,,,17,
331.097168,clGetPlatformInfo|General,END,,,,,,,,,,,17,
331.135652,clGetDeviceIDs|General,START,,,,,,,,,,,18,
331.146919,clGetDeviceIDs|General,END,,,,,,,,,,,18,
331.151953,clGetDeviceIDs|General,START,,,,,,,,,,,19,
331.157035,clGetDeviceIDs|General,END,,,,,,,,,,,19,
331.166061,clRetainDevice|General,START,,,,,,,,,,,20,
331.171202,clRetainDevice|General,END,,,,,,,,,,,20,
331.188561,clRetainDevice|General,START,,,,,,,,,,,21,
331.193613,clRetainDevice|General,END,,,,,,,,,,,21,
331.200747,clCreateContext|General,START,,,,,,,,,,,22,
331.210868,clCreateContext|General,END,,,,,,,,,,,22,
331.221238,clCreateCommandQueue|General,START,,,,,,,,,,,23,
331.232957,clCreateCommandQueue|General,END,,,,,,,,,,,23,
331.23876,clGetDeviceInfo|General,START,,,,,,,,,,,24,
331.245357,clGetDeviceInfo|General,END,,,,,,,,,,,24,
331.253624,clGetDeviceInfo|General,START,,,,,,,,,,,25,
331.261867,clGetDeviceInfo|General,END,,,,,,,,,,,25,
331.371622,clRetainDevice|General,START,,,,,,,,,,,26,
331.379884,clRetainDevice|General,END,,,,,,,,,,,26,
331.384724,clRetainDevice|General,START,,,,,,,,,,,27,
331.389117,clRetainDevice|General,END,,,,,,,,,,,27,
331.396945,clCreateProgramWithBinary|General,START,,,,,,,,,,,28,
541.202569,clCreateProgramWithBinary|General,END,,,,,,,,,,,28,
541.240318,clReleaseDevice|General,START,,,,,,,,,,,29,
541.24894,clReleaseDevice|General,END,,,,,,,,,,,29,
541.254343,clReleaseDevice|General,START,,,,,,,,,,,30,
541.259557,clReleaseDevice|General,END,,,,,,,,,,,30,
541.264559,clReleaseDevice|General,START,,,,,,,,,,,31,
541.269387,clReleaseDevice|General,END,,,,,,,,,,,31,
541.302512,clCreateKernel|General,START,,,,,,,,,,,32,
542.628181,clCreateKernel|General,END,,,,,,,,,,,32,
542.637871,clCreateKernel|General,START,,,,,,,,,,,33,
543.859786,clCreateKernel|General,END,,,,,,,,,,,33,
543.867002,clCreateKernel|General,START,,,,,,,,,,,34,
545.085273,clCreateKernel|General,END,,,,,,,,,,,34,
545.092233,clCreateKernel|General,START,,,,,,,,,,,35,
546.303831,clCreateKernel|General,END,,,,,,,,,,,35,
546.310497,clCreateKernel|General,START,,,,,,,,,,,36,
547.526743,clCreateKernel|General,END,,,,,,,,,,,36,
547.533628,clCreateKernel|General,START,,,,,,,,,,,37,
548.756823,clCreateKernel|General,END,,,,,,,,,,,37,
548.763648,clCreateKernel|General,START,,,,,,,,,,,38,
549.974506,clCreateKernel|General,END,,,,,,,,,,,38,
549.980928,clCreateKernel|General,START,,,,,,,,,,,39,
551.197432,clCreateKernel|General,END,,,,,,,,,,,39,
551.204115,clCreateKernel|General,START,,,,,,,,,,,40,
552.41644,clCreateKernel|General,END,,,,,,,,,,,40,
552.423209,clCreateKernel|General,START,,,,,,,,,,,41,
553.635833,clCreateKernel|General,END,,,,,,,,,,,41,
553.64241,clCreateKernel|General,START,,,,,,,,,,,42,
554.863016,clCreateKernel|General,END,,,,,,,,,,,42,
555.036147,clCreateBuffer|General,START,,,,,,,,,,,43,
555.104972,clCreateBuffer|General,END,,,,,,,,,,,43,
555.116094,clEnqueueWriteBuffer|35072800,START,,,,,,,,,,,44,
555.26581,clEnqueueWriteBuffer|35072800,END,,,,,,,,,,,44,
