Profile Summary
Generated on: 2020-11-14 16:01:41
Msec since Epoch: 1605369701953
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,422,6848.26,0.110233,16.2281,183.693,
clCreateBuffer,810,3027.48,0.017834,3.73763,29.7305,
clEnqueueReadBuffer,41,364.35,0.14677,8.88658,50.5849,
clReleaseMemObject,455,362.225,0.004468,0.796098,5.71268,
clSetKernelArg,4372,220.796,0.00443,0.0505024,6.51779,
clCreateProgramWithBinary,1,202.341,202.341,202.341,202.341,
clEnqueueTask,422,192.343,0.07435,0.455789,13.5867,
clCreateKernel,71,88.8975,1.19622,1.25208,1.44387,
clEnqueueWriteBuffer,268,33.8224,0.050826,0.126203,1.50602,
clGetEventProfilingInfo,844,4.94557,0.004567,0.00585968,0.040048,
clReleaseEvent,422,3.88306,0.006913,0.00920157,0.032625,
clReleaseKernel,60,0.425905,0.006016,0.00709842,0.040866,
clGetExtensionFunctionAddress,2,0.110527,0.015776,0.0552635,0.094751,
clGetPlatformInfo,14,0.069064,0.004438,0.00493314,0.007613,
clGetExtensionFunctionAddressForPlatform,2,0.037233,0.005518,0.0186165,0.031715,
clRetainDevice,4,0.027192,0.005584,0.006798,0.008551,
clGetDeviceIDs,2,0.017784,0.005071,0.008892,0.012713,
clReleaseDevice,3,0.017721,0.004934,0.005907,0.007611,
clGetDeviceInfo,2,0.015129,0.00657,0.0075645,0.008559,
clCreateCommandQueue,1,0.011982,0.011982,0.011982,0.011982,
clCreateContext,1,0.011644,0.011644,0.011644,0.011644,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,152.686,2.28657,19.0858,43.7244,
task_conv2_1x1_direct,8,982.022,59.6029,122.753,176.962,
task_datamover,2,0.203654,0.099715,0.101827,0.103939,
task_datamover,1,0.203777,0.203777,0.203777,0.203777,
task_datamover,1,0.297753,0.297753,0.297753,0.297753,
task_datamover,2,0.505049,0.205601,0.252525,0.299448,
task_datamover,1,0.213789,0.213789,0.213789,0.213789,
task_datamover,1,6.43248,6.43248,6.43248,6.43248,
task_datamover,1,0.210743,0.210743,0.210743,0.210743,
task_datamover,3,32.6273,0.888455,10.8758,15.8808,
task_datamover,1,8.05663,8.05663,8.05663,8.05663,
task_datamover,1,15.9352,15.9352,15.9352,15.9352,
task_datamover,1,7.98488,7.98488,7.98488,7.98488,
task_datamover,1,2.07293,2.07293,2.07293,2.07293,
task_datamover,2,16.0544,8.00012,8.02721,8.0543,
task_datamover,1,8.0584,8.0584,8.0584,8.0584,
task_datamover,1,15.8678,15.8678,15.8678,15.8678,
task_datamover,1,8.00157,8.00157,8.00157,8.00157,
task_datamover,1,8.02444,8.02444,8.02444,8.02444,
task_datamover,1,6.45326,6.45326,6.45326,6.45326,
task_datamover,2,6.77187,0.298532,3.38594,6.47334,
task_datamover,1,15.8692,15.8692,15.8692,15.8692,
task_datamover,1,7.99066,7.99066,7.99066,7.99066,
task_datamover,1,2.08179,2.08179,2.08179,2.08179,
task_datamover,1,6.4197,6.4197,6.4197,6.4197,
task_datamover,3,19.2431,6.4106,6.41436,6.41715,
task_datamover,2,0.292719,0.088971,0.14636,0.203748,
task_datamover,1,7.99454,7.99454,7.99454,7.99454,
task_datamover,1,7.99048,7.99048,7.99048,7.99048,
task_datamover,1,7.99199,7.99199,7.99199,7.99199,
task_datamover,2,22.3143,6.41693,11.1572,15.8974,
task_datamover,1,7.98788,7.98788,7.98788,7.98788,
task_datamover,5,44.9975,0.301155,8.99951,15.9346,
task_datamover,2,6.71126,0.293445,3.35563,6.41781,
task_datamover,1,0.097773,0.097773,0.097773,0.097773,
task_datamover,1,2.13226,2.13226,2.13226,2.13226,
task_datamover,1,7.99054,7.99054,7.99054,7.99054,
task_datamover,2,15.9738,7.98664,7.98691,7.98718,
task_datamover,1,15.8606,15.8606,15.8606,15.8606,
task_datamover,2,6.72547,0.304346,3.36274,6.42113,
task_datamover,1,7.98826,7.98826,7.98826,7.98826,
task_datamover,1,7.98841,7.98841,7.98841,7.98841,
task_datamover,1,15.9066,15.9066,15.9066,15.9066,
task_datamover,1,6.41549,6.41549,6.41549,6.41549,
task_datamover,1,15.9189,15.9189,15.9189,15.9189,
task_gather,5,115.767,8.33173,23.1535,33.0309,
task_matmul,12,519.518,0.613614,43.2932,158.964,
task_matops,219,1391.52,0.097895,6.35397,64.1213,
task_pad_unpad,8,135.668,0.101913,16.9585,33.8187,
task_reduce,48,1599.07,0.10063,33.314,76.9984,
task_relu_sqrt_square,29,44.0751,0.092031,1.51983,8.49961,
task_tile,15,165.033,5.44135,11.0022,27.1808,
task_topk,5,788.605,157.68,157.721,157.746,
task_transpose,5,9.95685,0.681611,1.99137,2.86649,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,41,1460.622192,15.214815,12807,359.496244,8.768201,
context0:1,WRITE,422,8554.421288,89.108555,11830.4,583.605715,1.382952,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
36150192,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,6462.76,176.962,1:1:1,1:1:1,
36150192,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,10067.5,176.95,1:1:1,1:1:1,
36150192,task_conv2_1x1_direct,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,8267.53,176.919,1:1:1,1:1:1,
36146640,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,5612.53,158.964,1:1:1,1:1:1,
36146640,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,9213.72,158.957,1:1:1,1:1:1,
36146640,task_matmul,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,7409.93,158.948,1:1:1,1:1:1,
36151536,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,5941.2,157.746,1:1:1,1:1:1,
36151536,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,9534.47,157.739,1:1:1,1:1:1,
36151536,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,4456.52,157.726,1:1:1,1:1:1,
36151536,task_topk,0,0,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,7730.51,157.713,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
17238564864,0,0,1115.62,12.660909,7864.32,621.149714,
17211404288,0,0,717.296,11.580678,25165.9,2173.092802,
17237360640,0,0,754.457,11.288083,24.576,2.177163,
17236967424,0,0,742.666,11.135779,393.216,35.311046,
484151296,0,0,8204.39,6.826539,62914.6,9216.172353,
333156352,0,0,6399.16,6.817047,62914.6,9229.004876,
635146240,0,0,10003.8,6.747165,62914.6,9324.591884,
10014720,0,0,2200.93,6.739624,62947.8,9339.963179,
4009984,0,0,6456.03,6.630150,62914.8,9489.199490,
3969024,0,0,4731.31,6.627690,62914.8,9492.721597,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
17935736832,0,0,3419.2,50.415727,62914.6,1247.915358,
179015680,0,0,2318.32,50.339417,62914.6,1249.807085,
17746993152,0,0,3543.32,49.768445,62914.6,1264.145585,
17526792192,0,0,2029.26,25.549973,31457.3,1231.205998,
116101120,0,0,1381.79,24.741443,31457.3,1271.440797,
760975360,0,0,11608,19.795115,25165.8,1271.314867,
17312882688,0,0,860.905,18.763029,25165.8,1341.245275,
18067857408,0,0,5472.17,17.327055,31457.3,1815.500672,
205373440,0,0,4846.69,16.727308,31457.3,1880.594295,
17432420352,0,0,2094.52,16.295700,31457.3,1930.403726,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0,11403.922218,
