Timeline Trace
Generated on: 2020-11-14 16:03:32
Msec since Epoch: 1605369812065
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
334.520289,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
334.573865,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
334.585388,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
334.591209,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
334.599459,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
334.60506,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
334.610958,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
334.615962,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
334.624432,clGetPlatformInfo|General,START,,,,,,,,,,,4,
334.632303,clGetPlatformInfo|General,END,,,,,,,,,,,4,
334.637379,clGetPlatformInfo|General,START,,,,,,,,,,,5,
334.642277,clGetPlatformInfo|General,END,,,,,,,,,,,5,
334.653343,clGetPlatformInfo|General,START,,,,,,,,,,,6,
334.65847,clGetPlatformInfo|General,END,,,,,,,,,,,6,
334.66316,clGetPlatformInfo|General,START,,,,,,,,,,,7,
334.667641,clGetPlatformInfo|General,END,,,,,,,,,,,7,
334.672192,clGetPlatformInfo|General,START,,,,,,,,,,,8,
334.676962,clGetPlatformInfo|General,END,,,,,,,,,,,8,
334.681473,clGetPlatformInfo|General,START,,,,,,,,,,,9,
334.685985,clGetPlatformInfo|General,END,,,,,,,,,,,9,
334.690461,clGetPlatformInfo|General,START,,,,,,,,,,,10,
334.695109,clGetPlatformInfo|General,END,,,,,,,,,,,10,
334.699549,clGetPlatformInfo|General,START,,,,,,,,,,,11,
334.70404,clGetPlatformInfo|General,END,,,,,,,,,,,11,
334.70856,clGetPlatformInfo|General,START,,,,,,,,,,,12,
334.713429,clGetPlatformInfo|General,END,,,,,,,,,,,12,
334.717901,clGetPlatformInfo|General,START,,,,,,,,,,,13,
334.722455,clGetPlatformInfo|General,END,,,,,,,,,,,13,
334.726947,clGetPlatformInfo|General,START,,,,,,,,,,,14,
334.731517,clGetPlatformInfo|General,END,,,,,,,,,,,14,
334.736067,clGetPlatformInfo|General,START,,,,,,,,,,,15,
334.740549,clGetPlatformInfo|General,END,,,,,,,,,,,15,
334.756976,clGetPlatformInfo|General,START,,,,,,,,,,,16,
334.762429,clGetPlatformInfo|General,END,,,,,,,,,,,16,
334.767429,clGetPlatformInfo|General,START,,,,,,,,,,,17,
334.79232,clGetPlatformInfo|General,END,,,,,,,,,,,17,
334.831663,clGetDeviceIDs|General,START,,,,,,,,,,,18,
334.843948,clGetDeviceIDs|General,END,,,,,,,,,,,18,
334.849255,clGetDeviceIDs|General,START,,,,,,,,,,,19,
334.85438,clGetDeviceIDs|General,END,,,,,,,,,,,19,
334.863957,clRetainDevice|General,START,,,,,,,,,,,20,
334.869668,clRetainDevice|General,END,,,,,,,,,,,20,
334.890417,clRetainDevice|General,START,,,,,,,,,,,21,
334.896131,clRetainDevice|General,END,,,,,,,,,,,21,
334.903621,clCreateContext|General,START,,,,,,,,,,,22,
