Timeline Trace
Generated on: 2020-06-10 19:32:00
Msec since Epoch: 1591817520696
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
338.607948,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
338.661494,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
338.673453,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
338.679706,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
338.689701,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
338.695702,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
338.702136,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
338.707578,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
338.715982,clGetPlatformInfo|General,START,,,,,,,,,,,4,
338.724193,clGetPlatformInfo|General,END,,,,,,,,,,,4,
338.729674,clGetPlatformInfo|General,START,,,,,,,,,,,5,
338.735185,clGetPlatformInfo|General,END,,,,,,,,,,,5,
338.747061,clGetPlatformInfo|General,START,,,,,,,,,,,6,
338.752811,clGetPlatformInfo|General,END,,,,,,,,,,,6,
338.75786,clGetPlatformInfo|General,START,,,,,,,,,,,7,
338.763376,clGetPlatformInfo|General,END,,,,,,,,,,,7,
338.768509,clGetPlatformInfo|General,START,,,,,,,,,,,8,
338.774069,clGetPlatformInfo|General,END,,,,,,,,,,,8,
338.779233,clGetPlatformInfo|General,START,,,,,,,,,,,9,
338.784459,clGetPlatformInfo|General,END,,,,,,,,,,,9,
338.789541,clGetPlatformInfo|General,START,,,,,,,,,,,10,
338.794979,clGetPlatformInfo|General,END,,,,,,,,,,,10,
338.800096,clGetPlatformInfo|General,START,,,,,,,,,,,11,
338.805311,clGetPlatformInfo|General,END,,,,,,,,,,,11,
338.810305,clGetPlatformInfo|General,START,,,,,,,,,,,12,
338.815707,clGetPlatformInfo|General,END,,,,,,,,,,,12,
338.820797,clGetPlatformInfo|General,START,,,,,,,,,,,13,
338.82594,clGetPlatformInfo|General,END,,,,,,,,,,,13,
338.831112,clGetPlatformInfo|General,START,,,,,,,,,,,14,
338.836299,clGetPlatformInfo|General,END,,,,,,,,,,,14,
338.841384,clGetPlatformInfo|General,START,,,,,,,,,,,15,
338.846515,clGetPlatformInfo|General,END,,,,,,,,,,,15,
338.863509,clGetPlatformInfo|General,START,,,,,,,,,,,16,
338.869556,clGetPlatformInfo|General,END,,,,,,,,,,,16,
338.875009,clGetPlatformInfo|General,START,,,,,,,,,,,17,
338.880209,clGetPlatformInfo|General,END,,,,,,,,,,,17,
338.918777,clGetDeviceIDs|General,START,,,,,,,,,,,18,
338.931435,clGetDeviceIDs|General,END,,,,,,,,,,,18,
338.937226,clGetDeviceIDs|General,START,,,,,,,,,,,19,
338.943031,clGetDeviceIDs|General,END,,,,,,,,,,,19,
338.952998,clRetainDevice|General,START,,,,,,,,,,,20,
338.959167,clRetainDevice|General,END,,,,,,,,,,,20,
338.9779,clRetainDevice|General,START,,,,,,,,,,,21,
338.984129,clRetainDevice|General,END,,,,,,,,,,,21,
338.992149,clCreateContext|General,START,,,,,,,,,,,22,
339.003513,clCreateContext|General,END,,,,,,,,,,,22,
339.014405,clCreateCommandQueue|General,START,,,,,,,,,,,23,
339.026766,clCreateCommandQueue|General,END,,,,,,,,,,,23,
339.033171,clGetDeviceInfo|General,START,,,,,,,,,,,24,
339.040459,clGetDeviceInfo|General,END,,,,,,,,,,,24,
339.049133,clGetDeviceInfo|General,START,,,,,,,,,,,25,
339.05825,clGetDeviceInfo|General,END,,,,,,,,,,,25,
339.170716,clRetainDevice|General,START,,,,,,,,,,,26,
339.180285,clRetainDevice|General,END,,,,,,,,,,,26,
339.185693,clRetainDevice|General,START,,,,,,,,,,,27,
339.190955,clRetainDevice|General,END,,,,,,,,,,,27,
339.199554,clCreateProgramWithBinary|General,START,,,,,,,,,,,28,
542.616364,clCreateProgramWithBinary|General,END,,,,,,,,,,,28,
542.645905,clReleaseDevice|General,START,,,,,,,,,,,29,
542.656444,clReleaseDevice|General,END,,,,,,,,,,,29,
542.662229,clReleaseDevice|General,START,,,,,,,,,,,30,
542.668262,clReleaseDevice|General,END,,,,,,,,,,,30,
542.673891,clReleaseDevice|General,START,,,,,,,,,,,31,
542.679565,clReleaseDevice|General,END,,,,,,,,,,,31,
542.710607,clCreateKernel|General,START,,,,,,,,,,,32,
544.012952,clCreateKernel|General,END,,,,,,,,,,,32,
544.023472,clCreateKernel|General,START,,,,,,,,,,,33,
545.228948,clCreateKernel|General,END,,,,,,,,,,,33,
545.236836,clCreateKernel|General,START,,,,,,,,,,,34,
546.453199,clCreateKernel|General,END,,,,,,,,,,,34,
546.460755,clCreateKernel|General,START,,,,,,,,,,,35,
547.655893,clCreateKernel|General,END,,,,,,,,,,,35,
547.663265,clCreateKernel|General,START,,,,,,,,,,,36,
548.868178,clCreateKernel|General,END,,,,,,,,,,,36,
548.875316,clCreateKernel|General,START,,,,,,,,,,,37,
550.074211,clCreateKernel|General,END,,,,,,,,,,,37,
550.081477,clCreateKernel|General,START,,,,,,,,,,,38,
551.27586,clCreateKernel|General,END,,,,,,,,,,,38,
551.290922,clCreateKernel|General,START,,,,,,,,,,,39,
552.498678,clCreateKernel|General,END,,,,,,,,,,,39,
552.50601,clCreateKernel|General,START,,,,,,,,,,,40,
553.70204,clCreateKernel|General,END,,,,,,,,,,,40,
553.709193,clCreateKernel|General,START,,,,,,,,,,,41,
554.903846,clCreateKernel|General,END,,,,,,,,,,,41,
554.910785,clCreateKernel|General,START,,,,,,,,,,,42,
556.108039,clCreateKernel|General,END,,,,,,,,,,,42,
556.267814,clCreateBuffer|General,START,,,,,,,,,,,43,
556.384671,clCreateBuffer|General,END,,,,,,,,,,,43,
556.398593,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,44,
556.535968,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,44,
556.605755,clCreateBuffer|General,START,,,,,,,,,,,45,
556.637408,clCreateBuffer|General,END,,,,,,,,,,,45,
556.644775,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,46,
556.699949,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,46,
556.778857,clCreateBuffer|General,START,,,,,,,,,,,47,
556.810856,clCreateBuffer|General,END,,,,,,,,,,,47,
556.818151,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,48,
556.873883,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,48,
556.94949,clCreateBuffer|General,START,,,,,,,,,,,49,
556.979649,clCreateBuffer|General,END,,,,,,,,,,,49,
556.986911,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,50,
557.039445,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,50,
557.112577,clCreateBuffer|General,START,,,,,,,,,,,51,
557.142943,clCreateBuffer|General,END,,,,,,,,,,,51,
557.150435,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,52,
557.200961,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,52,
557.261977,clCreateBuffer|General,START,,,,,,,,,,,53,
557.305325,clCreateBuffer|General,END,,,,,,,,,,,53,
557.31435,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,54,
557.363971,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,54,
557.423001,clCreateBuffer|General,START,,,,,,,,,,,55,
557.452845,clCreateBuffer|General,END,,,,,,,,,,,55,
557.460183,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,56,
557.509281,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,56,
557.578585,clCreateBuffer|General,START,,,,,,,,,,,57,
557.608813,clCreateBuffer|General,END,,,,,,,,,,,57,
557.616196,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,58,
557.666087,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,58,
557.727246,clCreateBuffer|General,START,,,,,,,,,,,59,
557.756291,clCreateBuffer|General,END,,,,,,,,,,,59,
557.763417,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,60,
557.813174,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,60,
557.871973,clCreateBuffer|General,START,,,,,,,,,,,61,
557.900251,clCreateBuffer|General,END,,,,,,,,,,,61,
557.907484,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,62,
557.956753,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,62,
558.025594,clCreateBuffer|General,START,,,,,,,,,,,63,
558.055143,clCreateBuffer|General,END,,,,,,,,,,,63,
558.062159,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,64,
558.111737,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,64,
560.291966,clCreateBuffer|General,START,,,,,,,,,,,65,
560.822143,clCreateBuffer|General,END,,,,,,,,,,,65,
560.832502,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,66,
561.770086,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,66,
563.797442,clCreateBuffer|General,START,,,,,,,,,,,67,
564.325548,clCreateBuffer|General,END,,,,,,,,,,,67,
564.335305,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,68,
565.249664,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,68,
566.741389,clCreateBuffer|General,START,,,,,,,,,,,69,
567.251324,clCreateBuffer|General,END,,,,,,,,,,,69,
567.25992,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,70,
568.222784,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,70,
568.335075,clCreateBuffer|General,START,,,,,,,,,,,71,
568.370714,clCreateBuffer|General,END,,,,,,,,,,,71,
568.378945,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,72,
568.432192,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,72,
568.489471,clCreateBuffer|General,START,,,,,,,,,,,73,
568.518701,clCreateBuffer|General,END,,,,,,,,,,,73,
568.525958,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,74,
568.575187,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,74,
568.646158,clCreateBuffer|General,START,,,,,,,,,,,75,
568.677753,clCreateBuffer|General,END,,,,,,,,,,,75,
568.685023,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,76,
568.735944,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,76,
568.793066,clCreateBuffer|General,START,,,,,,,,,,,77,
568.822622,clCreateBuffer|General,END,,,,,,,,,,,77,
568.829784,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,78,
568.878319,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,78,
568.933179,clCreateBuffer|General,START,,,,,,,,,,,79,
568.961504,clCreateBuffer|General,END,,,,,,,,,,,79,
568.968656,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,80,
569.016537,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,80,
569.081794,clCreateBuffer|General,START,,,,,,,,,,,81,
569.111722,clCreateBuffer|General,END,,,,,,,,,,,81,
569.118945,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,82,
569.16763,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,82,
569.250095,clCreateBuffer|General,START,,,,,,,,,,,83,
569.300564,clCreateBuffer|General,END,,,,,,,,,,,83,
569.309705,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,84,
569.360333,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,84,
569.431041,clCreateBuffer|General,START,,,,,,,,,,,85,
569.461491,clCreateBuffer|General,END,,,,,,,,,,,85,
569.468949,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,86,
569.518874,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,86,
569.574626,clCreateBuffer|General,START,,,,,,,,,,,87,
569.606018,clCreateBuffer|General,END,,,,,,,,,,,87,
569.613617,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,88,
569.661653,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,88,
569.716063,clCreateBuffer|General,START,,,,,,,,,,,89,
569.745704,clCreateBuffer|General,END,,,,,,,,,,,89,
569.752936,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,90,
569.800721,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,90,
569.866003,clCreateBuffer|General,START,,,,,,,,,,,91,
569.895407,clCreateBuffer|General,END,,,,,,,,,,,91,
569.902757,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,92,
569.951917,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,92,
570.010384,clCreateBuffer|General,START,,,,,,,,,,,93,
570.039379,clCreateBuffer|General,END,,,,,,,,,,,93,
570.046464,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,94,
570.095263,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,94,
570.15203,clCreateBuffer|General,START,,,,,,,,,,,95,
570.180461,clCreateBuffer|General,END,,,,,,,,,,,95,
570.187461,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,96,
570.236701,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,96,
570.313559,clCreateBuffer|General,START,,,,,,,,,,,97,
570.344922,clCreateBuffer|General,END,,,,,,,,,,,97,
570.352471,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,98,
570.402551,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,98,
570.458744,clCreateBuffer|General,START,,,,,,,,,,,99,
570.48857,clCreateBuffer|General,END,,,,,,,,,,,99,
570.496076,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,100,
570.544459,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,100,
570.600498,clCreateBuffer|General,START,,,,,,,,,,,101,
570.628528,clCreateBuffer|General,END,,,,,,,,,,,101,
570.635598,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,102,
570.682881,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,102,
570.75229,clCreateBuffer|General,START,,,,,,,,,,,103,
570.782033,clCreateBuffer|General,END,,,,,,,,,,,103,
570.789405,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,104,
570.837876,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,104,
570.89332,clCreateBuffer|General,START,,,,,,,,,,,105,
570.922482,clCreateBuffer|General,END,,,,,,,,,,,105,
570.929531,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,106,
570.977583,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,106,
571.032259,clCreateBuffer|General,START,,,,,,,,,,,107,
571.063915,clCreateBuffer|General,END,,,,,,,,,,,107,
571.070845,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,108,
571.119062,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,108,
571.196642,clCreateBuffer|General,START,,,,,,,,,,,109,
571.228709,clCreateBuffer|General,END,,,,,,,,,,,109,
571.236041,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,110,
571.294036,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,110,
571.36488,clCreateBuffer|General,START,,,,,,,,,,,111,
571.395288,clCreateBuffer|General,END,,,,,,,,,,,111,
571.402586,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,112,
571.452371,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,112,
571.521117,clCreateBuffer|General,START,,,,,,,,,,,113,
571.551193,clCreateBuffer|General,END,,,,,,,,,,,113,
571.558277,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,114,
571.607507,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,114,
571.662987,clCreateBuffer|General,START,,,,,,,,,,,115,
571.697624,clCreateBuffer|General,END,,,,,,,,,,,115,
571.704976,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,116,
571.753557,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,116,
571.807469,clCreateBuffer|General,START,,,,,,,,,,,117,
571.836134,clCreateBuffer|General,END,,,,,,,,,,,117,
571.843328,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,118,
571.89091,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,118,
571.956185,clCreateBuffer|General,START,,,,,,,,,,,119,
571.985149,clCreateBuffer|General,END,,,,,,,,,,,119,
571.992403,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,120,
572.042961,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,120,
572.123552,clCreateBuffer|General,START,,,,,,,,,,,121,
572.167204,clCreateBuffer|General,END,,,,,,,,,,,121,
572.174736,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,122,
572.242634,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,122,
572.334564,clCreateBuffer|General,START,,,,,,,,,,,123,
572.375228,clCreateBuffer|General,END,,,,,,,,,,,123,
572.382535,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,124,
572.451534,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,124,
572.544029,clCreateBuffer|General,START,,,,,,,,,,,125,
572.585497,clCreateBuffer|General,END,,,,,,,,,,,125,
572.593006,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,126,
572.661577,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,126,
572.718087,clCreateBuffer|General,START,,,,,,,,,,,127,
572.750201,clCreateBuffer|General,END,,,,,,,,,,,127,
572.757476,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,128,
572.806334,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,128,
572.859854,clCreateBuffer|General,START,,,,,,,,,,,129,
572.88891,clCreateBuffer|General,END,,,,,,,,,,,129,
572.895964,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,130,
572.943608,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,130,
573.008251,clCreateBuffer|General,START,,,,,,,,,,,131,
573.037757,clCreateBuffer|General,END,,,,,,,,,,,131,
573.045077,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,132,
573.093846,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,132,
573.148133,clCreateBuffer|General,START,,,,,,,,,,,133,
573.178453,clCreateBuffer|General,END,,,,,,,,,,,133,
573.185584,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,134,
573.233971,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,134,
573.296697,clCreateBuffer|General,START,,,,,,,,,,,135,
573.329276,clCreateBuffer|General,END,,,,,,,,,,,135,
573.336503,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,136,
573.384767,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,136,
573.450739,clCreateBuffer|General,START,,,,,,,,,,,137,
573.481899,clCreateBuffer|General,END,,,,,,,,,,,137,
573.489128,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,138,
573.537983,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,138,
573.605595,clCreateBuffer|General,START,,,,,,,,,,,139,
573.63581,clCreateBuffer|General,END,,,,,,,,,,,139,
573.643141,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,140,
573.692274,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,140,
573.760034,clCreateBuffer|General,START,,,,,,,,,,,141,
573.790907,clCreateBuffer|General,END,,,,,,,,,,,141,
573.798158,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,142,
573.867221,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,142,
573.928586,clCreateBuffer|General,START,,,,,,,,,,,143,
573.959012,clCreateBuffer|General,END,,,,,,,,,,,143,
573.9663,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,144,
574.014203,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,144,
574.067761,clCreateBuffer|General,START,,,,,,,,,,,145,
574.096841,clCreateBuffer|General,END,,,,,,,,,,,145,
574.103857,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,146,
574.151773,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,146,
574.216093,clCreateBuffer|General,START,,,,,,,,,,,147,
574.245739,clCreateBuffer|General,END,,,,,,,,,,,147,
574.252972,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,148,
574.321022,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,148,
574.436824,clCreateBuffer|General,START,,,,,,,,,,,149,
574.489408,clCreateBuffer|General,END,,,,,,,,,,,149,
574.498077,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,150,
574.572598,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,150,
574.66072,clCreateBuffer|General,START,,,,,,,,,,,151,
574.705102,clCreateBuffer|General,END,,,,,,,,,,,151,
574.712963,clEnqueueWriteBuffer|34269984,START,,,,,,,,,,,152,
574.783024,clEnqueueWriteBuffer|34269984,END,,,,,,,,,,,152,
