Timeline Trace
Generated on: 2020-06-10 21:57:50
Msec since Epoch: 1591826270830
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
334.729216,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
334.785479,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
334.796371,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
334.801786,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
334.810501,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
334.81599,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
334.822017,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
334.826838,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
334.834398,clGetPlatformInfo|General,START,,,,,,,,,,,4,
334.841402,clGetPlatformInfo|General,END,,,,,,,,,,,4,
334.846282,clGetPlatformInfo|General,START,,,,,,,,,,,5,
334.851275,clGetPlatformInfo|General,END,,,,,,,,,,,5,
334.863402,clGetPlatformInfo|General,START,,,,,,,,,,,6,
334.868646,clGetPlatformInfo|General,END,,,,,,,,,,,6,
334.873137,clGetPlatformInfo|General,START,,,,,,,,,,,7,
334.877811,clGetPlatformInfo|General,END,,,,,,,,,,,7,
334.882266,clGetPlatformInfo|General,START,,,,,,,,,,,8,
334.887042,clGetPlatformInfo|General,END,,,,,,,,,,,8,
334.891556,clGetPlatformInfo|General,START,,,,,,,,,,,9,
334.896169,clGetPlatformInfo|General,END,,,,,,,,,,,9,
334.900707,clGetPlatformInfo|General,START,,,,,,,,,,,10,
334.905358,clGetPlatformInfo|General,END,,,,,,,,,,,10,
334.90996,clGetPlatformInfo|General,START,,,,,,,,,,,11,
334.914557,clGetPlatformInfo|General,END,,,,,,,,,,,11,
334.919068,clGetPlatformInfo|General,START,,,,,,,,,,,12,
334.923911,clGetPlatformInfo|General,END,,,,,,,,,,,12,
334.928449,clGetPlatformInfo|General,START,,,,,,,,,,,13,
334.932999,clGetPlatformInfo|General,END,,,,,,,,,,,13,
334.937532,clGetPlatformInfo|General,START,,,,,,,,,,,14,
334.942128,clGetPlatformInfo|General,END,,,,,,,,,,,14,
334.946516,clGetPlatformInfo|General,START,,,,,,,,,,,15,
334.951089,clGetPlatformInfo|General,END,,,,,,,,,,,15,
334.967791,clGetPlatformInfo|General,START,,,,,,,,,,,16,
334.97333,clGetPlatformInfo|General,END,,,,,,,,,,,16,
334.978418,clGetPlatformInfo|General,START,,,,,,,,,,,17,
334.983024,clGetPlatformInfo|General,END,,,,,,,,,,,17,
335.020671,clGetDeviceIDs|General,START,,,,,,,,,,,18,
335.032222,clGetDeviceIDs|General,END,,,,,,,,,,,18,
335.037466,clGetDeviceIDs|General,START,,,,,,,,,,,19,
335.042434,clGetDeviceIDs|General,END,,,,,,,,,,,19,
335.05175,clRetainDevice|General,START,,,,,,,,,,,20,
335.05711,clRetainDevice|General,END,,,,,,,,,,,20,
335.074802,clRetainDevice|General,START,,,,,,,,,,,21,
