Profile Summary
Generated on: 2020-11-14 16:12:32
Msec since Epoch: 1605370352755
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,422,56431.5,0.100514,133.724,1530.61,
clCreateBuffer,810,25246.9,0.018107,31.169,200.194,
clEnqueueReadBuffer,41,3544.35,0.155088,86.4477,432.326,
clReleaseMemObject,455,2848.32,0.004566,6.26005,44.0919,
clSetKernelArg,4372,1564.34,0.004499,0.35781,52.1549,
clEnqueueTask,422,257.293,0.076485,0.6097,18.3002,
clCreateProgramWithBinary,1,226.319,226.319,226.319,226.319,
clCreateKernel,71,88.6754,1.20584,1.24895,1.29993,
clEnqueueWriteBuffer,268,47.9036,0.048155,0.178745,2.35843,
clGetEventProfilingInfo,844,5.20872,0.004602,0.00617146,0.073986,
clReleaseEvent,422,4.08084,0.007291,0.00967025,0.04267,
clReleaseKernel,60,0.436687,0.006088,0.00727812,0.042983,
clGetExtensionFunctionAddress,2,0.086374,0.01599,0.043187,0.070384,
clGetPlatformInfo,14,0.069851,0.004504,0.00498936,0.007666,
clRetainDevice,4,0.026498,0.005536,0.0066245,0.008168,
clReleaseDevice,3,0.017653,0.004912,0.00588433,0.007443,
clGetExtensionFunctionAddressForPlatform,2,0.016959,0.005548,0.0084795,0.011411,
clGetDeviceIDs,2,0.016687,0.005111,0.0083435,0.011576,
clGetDeviceInfo,2,0.015476,0.006903,0.007738,0.008573,
clCreateCommandQueue,1,0.011965,0.011965,0.011965,0.011965,
clCreateContext,1,0.010828,0.010828,0.010828,0.010828,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,1265.78,18.292,158.223,363.474,
task_conv2_1x1_direct,8,8173.46,495.819,1021.68,1473.24,
