Timeline Trace
Generated on: 2020-11-14 16:02:10
Msec since Epoch: 1605369730424
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
356.550561,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
356.607941,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
356.620171,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
356.625679,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
356.634409,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
356.639823,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
356.645443,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
356.65025,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
356.659065,clGetPlatformInfo|General,START,,,,,,,,,,,4,
356.666988,clGetPlatformInfo|General,END,,,,,,,,,,,4,
356.672152,clGetPlatformInfo|General,START,,,,,,,,,,,5,
356.67719,clGetPlatformInfo|General,END,,,,,,,,,,,5,
356.688385,clGetPlatformInfo|General,START,,,,,,,,,,,6,
356.693775,clGetPlatformInfo|General,END,,,,,,,,,,,6,
356.698343,clGetPlatformInfo|General,START,,,,,,,,,,,7,
356.702865,clGetPlatformInfo|General,END,,,,,,,,,,,7,
356.70736,clGetPlatformInfo|General,START,,,,,,,,,,,8,
356.712042,clGetPlatformInfo|General,END,,,,,,,,,,,8,
356.71649,clGetPlatformInfo|General,START,,,,,,,,,,,9,
356.721001,clGetPlatformInfo|General,END,,,,,,,,,,,9,
356.725396,clGetPlatformInfo|General,START,,,,,,,,,,,10,
356.730113,clGetPlatformInfo|General,END,,,,,,,,,,,10,
356.734488,clGetPlatformInfo|General,START,,,,,,,,,,,11,
356.738945,clGetPlatformInfo|General,END,,,,,,,,,,,11,
356.743398,clGetPlatformInfo|General,START,,,,,,,,,,,12,
356.748129,clGetPlatformInfo|General,END,,,,,,,,,,,12,
356.752495,clGetPlatformInfo|General,START,,,,,,,,,,,13,
356.756972,clGetPlatformInfo|General,END,,,,,,,,,,,13,
356.761431,clGetPlatformInfo|General,START,,,,,,,,,,,14,
356.765966,clGetPlatformInfo|General,END,,,,,,,,,,,14,
356.77041,clGetPlatformInfo|General,START,,,,,,,,,,,15,
356.7748,clGetPlatformInfo|General,END,,,,,,,,,,,15,
356.791223,clGetPlatformInfo|General,START,,,,,,,,,,,16,
356.796708,clGetPlatformInfo|General,END,,,,,,,,,,,16,
356.801717,clGetPlatformInfo|General,START,,,,,,,,,,,17,
356.806296,clGetPlatformInfo|General,END,,,,,,,,,,,17,
356.842032,clGetDeviceIDs|General,START,,,,,,,,,,,18,
356.85399,clGetDeviceIDs|General,END,,,,,,,,,,,18,
356.859443,clGetDeviceIDs|General,START,,,,,,,,,,,19,
356.864633,clGetDeviceIDs|General,END,,,,,,,,,,,19,
356.874023,clRetainDevice|General,START,,,,,,,,,,,20,
356.879747,clRetainDevice|General,END,,,,,,,,,,,20,
356.899147,clRetainDevice|General,START,,,,,,,,,,,21,
356.90495,clRetainDevice|General,END,,,,,,,,,,,21,
356.91248,clCreateContext|General,START,,,,,,,,,,,22,
356.923969,clCreateContext|General,END,,,,,,,,,,,22,
356.934919,clCreateCommandQueue|General,START,,,,,,,,,,,23,
356.947048,clCreateCommandQueue|General,END,,,,,,,,,,,23,
356.953199,clGetDeviceInfo|General,START,,,,,,,,,,,24,
356.960515,clGetDeviceInfo|General,END,,,,,,,,,,,24,
356.969703,clGetDeviceInfo|General,START,,,,,,,,,,,25,
356.978271,clGetDeviceInfo|General,END,,,,,,,,,,,25,
357.086524,clRetainDevice|General,START,,,,,,,,,,,26,
357.096025,clRetainDevice|General,END,,,,,,,,,,,26,
357.101074,clRetainDevice|General,START,,,,,,,,,,,27,
357.108824,clRetainDevice|General,END,,,,,,,,,,,27,
357.117443,clCreateProgramWithBinary|General,START,,,,,,,,,,,28,
605.692798,clCreateProgramWithBinary|General,END,,,,,,,,,,,28,
605.711489,clReleaseDevice|General,START,,,,,,,,,,,29,
605.718948,clReleaseDevice|General,END,,,,,,,,,,,29,
605.724184,clReleaseDevice|General,START,,,,,,,,,,,30,
605.729193,clReleaseDevice|General,END,,,,,,,,,,,30,
605.733851,clReleaseDevice|General,START,,,,,,,,,,,31,
605.738635,clReleaseDevice|General,END,,,,,,,,,,,31,
605.762703,clCreateKernel|General,START,,,,,,,,,,,32,
607.057419,clCreateKernel|General,END,,,,,,,,,,,32,
607.067988,clCreateKernel|General,START,,,,,,,,,,,33,
608.282454,clCreateKernel|General,END,,,,,,,,,,,33,
608.29167,clCreateKernel|General,START,,,,,,,,,,,34,
609.508458,clCreateKernel|General,END,,,,,,,,,,,34,
609.51654,clCreateKernel|General,START,,,,,,,,,,,35,
610.711991,clCreateKernel|General,END,,,,,,,,,,,35,
610.719848,clCreateKernel|General,START,,,,,,,,,,,36,
611.915667,clCreateKernel|General,END,,,,,,,,,,,36,
611.923248,clCreateKernel|General,START,,,,,,,,,,,37,
613.123547,clCreateKernel|General,END,,,,,,,,,,,37,
613.131262,clCreateKernel|General,START,,,,,,,,,,,38,
614.351978,clCreateKernel|General,END,,,,,,,,,,,38,
614.359705,clCreateKernel|General,START,,,,,,,,,,,39,
615.558936,clCreateKernel|General,END,,,,,,,,,,,39,
615.566768,clCreateKernel|General,START,,,,,,,,,,,40,
616.765775,clCreateKernel|General,END,,,,,,,,,,,40,
616.773463,clCreateKernel|General,START,,,,,,,,,,,41,
617.980847,clCreateKernel|General,END,,,,,,,,,,,41,
617.989019,clCreateKernel|General,START,,,,,,,,,,,42,
619.190423,clCreateKernel|General,END,,,,,,,,,,,42,
619.397899,clCreateBuffer|General,START,,,,,,,,,,,43,
619.456264,clCreateBuffer|General,END,,,,,,,,,,,43,
619.467083,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,44,
619.6045,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,44,
619.677189,clCreateBuffer|General,START,,,,,,,,,,,45,
619.709811,clCreateBuffer|General,END,,,,,,,,,,,45,
619.716663,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,46,
619.788666,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,46,
619.871977,clCreateBuffer|General,START,,,,,,,,,,,47,
619.905414,clCreateBuffer|General,END,,,,,,,,,,,47,
619.912529,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,48,
619.971902,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,48,
620.051441,clCreateBuffer|General,START,,,,,,,,,,,49,
620.082902,clCreateBuffer|General,END,,,,,,,,,,,49,
620.089582,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,50,
620.164762,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,50,
620.244136,clCreateBuffer|General,START,,,,,,,,,,,51,
620.275087,clCreateBuffer|General,END,,,,,,,,,,,51,
620.282064,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,52,
620.355191,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,52,
620.423653,clCreateBuffer|General,START,,,,,,,,,,,53,
620.455135,clCreateBuffer|General,END,,,,,,,,,,,53,
620.461911,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,54,
620.520508,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,54,
620.589405,clCreateBuffer|General,START,,,,,,,,,,,55,
620.618885,clCreateBuffer|General,END,,,,,,,,,,,55,
620.625649,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,56,
620.681485,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,56,
620.757609,clCreateBuffer|General,START,,,,,,,,,,,57,
620.78783,clCreateBuffer|General,END,,,,,,,,,,,57,
620.794884,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,58,
620.862993,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,58,
620.928612,clCreateBuffer|General,START,,,,,,,,,,,59,
620.958759,clCreateBuffer|General,END,,,,,,,,,,,59,
620.965427,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,60,
621.025296,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,60,
621.088006,clCreateBuffer|General,START,,,,,,,,,,,61,
621.117627,clCreateBuffer|General,END,,,,,,,,,,,61,
621.12413,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,62,
621.181409,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,62,
621.256767,clCreateBuffer|General,START,,,,,,,,,,,63,
621.28731,clCreateBuffer|General,END,,,,,,,,,,,63,
621.294382,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,64,
621.358417,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,64,
623.616932,clCreateBuffer|General,START,,,,,,,,,,,65,
624.175511,clCreateBuffer|General,END,,,,,,,,,,,65,
624.183816,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,66,
625.146395,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,66,
627.264078,clCreateBuffer|General,START,,,,,,,,,,,67,
627.826789,clCreateBuffer|General,END,,,,,,,,,,,67,
627.836665,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,68,
628.808383,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,68,
630.304481,clCreateBuffer|General,START,,,,,,,,,,,69,
630.897792,clCreateBuffer|General,END,,,,,,,,,,,69,
630.907666,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,70,
631.942613,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,70,
632.051056,clCreateBuffer|General,START,,,,,,,,,,,71,
632.085535,clCreateBuffer|General,END,,,,,,,,,,,71,
632.092995,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,72,
632.152394,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,72,
632.212889,clCreateBuffer|General,START,,,,,,,,,,,73,
632.243031,clCreateBuffer|General,END,,,,,,,,,,,73,
632.249814,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,74,
632.311005,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,74,
632.397634,clCreateBuffer|General,START,,,,,,,,,,,75,
632.429026,clCreateBuffer|General,END,,,,,,,,,,,75,
632.435883,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,76,
632.497735,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,76,
632.558487,clCreateBuffer|General,START,,,,,,,,,,,77,
632.588307,clCreateBuffer|General,END,,,,,,,,,,,77,
632.594857,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,78,
632.651349,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,78,
632.709571,clCreateBuffer|General,START,,,,,,,,,,,79,
632.738373,clCreateBuffer|General,END,,,,,,,,,,,79,
632.744921,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,80,
632.799695,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,80,
632.87089,clCreateBuffer|General,START,,,,,,,,,,,81,
632.902494,clCreateBuffer|General,END,,,,,,,,,,,81,
632.909592,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,82,
632.974637,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,82,
633.061536,clCreateBuffer|General,START,,,,,,,,,,,83,
633.093835,clCreateBuffer|General,END,,,,,,,,,,,83,
633.100851,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,84,
633.159699,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,84,
633.233913,clCreateBuffer|General,START,,,,,,,,,,,85,
633.265842,clCreateBuffer|General,END,,,,,,,,,,,85,
633.27265,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,86,
633.343593,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,86,
633.405538,clCreateBuffer|General,START,,,,,,,,,,,87,
633.435882,clCreateBuffer|General,END,,,,,,,,,,,87,
633.442618,clEnqueueWriteBuffer|23898832,START,,,,,,,,,,,88,
633.498628,clEnqueueWriteBuffer|23898832,END,,,,,,,,,,,88,
