Profile Summary
Generated on: 2020-11-16 22:15:14
Msec since Epoch: 1605564914458
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1
Target devices: xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clFlush,422,16970.3,0.118418,40.2139,458.774,
clCreateBuffer,690,4770.93,0.02646,6.91439,69.1297,
clEnqueueReadBuffer,41,1068.2,0.167616,26.0536,129.464,
clSetKernelArg,4372,511.512,0.004464,0.116997,16.5184,
clCreateProgramWithBinary,1,246.158,246.158,246.158,246.158,
clEnqueueTask,422,228.82,0.074875,0.542228,18.7575,
clReleaseMemObject,335,199.551,0.004483,0.595673,13.6995,
clCreateKernel,71,88.3858,1.19462,1.24487,1.31854,
clEnqueueWriteBuffer,268,37.3066,0.054472,0.139204,1.57574,
clGetEventProfilingInfo,844,4.74742,0.00449,0.00562491,0.038421,
clReleaseEvent,422,3.97766,0.006954,0.00942573,0.042916,
clWaitForEvents,422,2.70583,0.005419,0.00641193,0.038136,
clReleaseKernel,60,0.437667,0.00589,0.00729445,0.041164,
clGetPlatformInfo,14,0.09401,0.004403,0.006715,0.029773,
clGetExtensionFunctionAddress,2,0.087013,0.015871,0.0435065,0.071142,
clRetainDevice,4,0.024538,0.004463,0.0061345,0.009217,
clReleaseDevice,3,0.017756,0.00474,0.00591867,0.007949,
clGetExtensionFunctionAddressForPlatform,2,0.016604,0.005364,0.008302,0.01124,
clGetDeviceIDs,2,0.016394,0.00512,0.008197,0.011274,
clGetDeviceInfo,2,0.01482,0.006563,0.00741,0.008257,
clCreateCommandQueue,1,0.011852,0.011852,0.011852,0.011852,
clCreateContext,1,0.010863,0.010863,0.010863,0.010863,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
task_concat,8,380.446,5.57053,47.5557,109.12,
task_conv2_1x1_direct,8,2452.96,148.855,306.619,442.11,
task_datamover,1,0.345377,0.345377,0.345377,0.345377,
task_datamover,1,39.4574,39.4574,39.4574,39.4574,
