Timeline Trace
Generated on: 2020-11-16 22:12:30
Msec since Epoch: 1605564750454
Profiled application: DeepPointV1FPGA
Target platform: Xilinx
Tool version: 2019.1


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
344.045536,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
344.124546,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
344.135993,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
344.141872,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
344.150359,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
344.155704,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
344.161159,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
344.166102,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
344.174278,clGetPlatformInfo|General,START,,,,,,,,,,,4,
344.182052,clGetPlatformInfo|General,END,,,,,,,,,,,4,
344.187112,clGetPlatformInfo|General,START,,,,,,,,,,,5,
344.191919,clGetPlatformInfo|General,END,,,,,,,,,,,5,
344.202561,clGetPlatformInfo|General,START,,,,,,,,,,,6,
344.207729,clGetPlatformInfo|General,END,,,,,,,,,,,6,
344.212241,clGetPlatformInfo|General,START,,,,,,,,,,,7,
344.216633,clGetPlatformInfo|General,END,,,,,,,,,,,7,
344.221193,clGetPlatformInfo|General,START,,,,,,,,,,,8,
344.225854,clGetPlatformInfo|General,END,,,,,,,,,,,8,
344.230318,clGetPlatformInfo|General,START,,,,,,,,,,,9,
344.234746,clGetPlatformInfo|General,END,,,,,,,,,,,9,
344.239352,clGetPlatformInfo|General,START,,,,,,,,,,,10,
344.244003,clGetPlatformInfo|General,END,,,,,,,,,,,10,
344.248454,clGetPlatformInfo|General,START,,,,,,,,,,,11,
344.252963,clGetPlatformInfo|General,END,,,,,,,,,,,11,
344.257462,clGetPlatformInfo|General,START,,,,,,,,,,,12,
344.262159,clGetPlatformInfo|General,END,,,,,,,,,,,12,
344.266654,clGetPlatformInfo|General,START,,,,,,,,,,,13,
344.271056,clGetPlatformInfo|General,END,,,,,,,,,,,13,
344.275607,clGetPlatformInfo|General,START,,,,,,,,,,,14,
344.280095,clGetPlatformInfo|General,END,,,,,,,,,,,14,
344.284525,clGetPlatformInfo|General,START,,,,,,,,,,,15,
344.288966,clGetPlatformInfo|General,END,,,,,,,,,,,15,
344.304706,clGetPlatformInfo|General,START,,,,,,,,,,,16,
344.310439,clGetPlatformInfo|General,END,,,,,,,,,,,16,
344.315374,clGetPlatformInfo|General,START,,,,,,,,,,,17,
344.319814,clGetPlatformInfo|General,END,,,,,,,,,,,17,
344.355407,clGetDeviceIDs|General,START,,,,,,,,,,,18,
344.366976,clGetDeviceIDs|General,END,,,,,,,,,,,18,
344.372135,clGetDeviceIDs|General,START,,,,,,,,,,,19,
344.377106,clGetDeviceIDs|General,END,,,,,,,,,,,19,
344.38639,clRetainDevice|General,START,,,,,,,,,,,20,
344.392079,clRetainDevice|General,END,,,,,,,,,,,20,
344.410492,clRetainDevice|General,START,,,,,,,,,,,21,
344.415934,clRetainDevice|General,END,,,,,,,,,,,21,
344.423438,clCreateContext|General,START,,,,,,,,,,,22,
344.434296,clCreateContext|General,END,,,,,,,,,,,22,
344.445496,clCreateCommandQueue|General,START,,,,,,,,,,,23,
344.45781,clCreateCommandQueue|General,END,,,,,,,,,,,23,
344.463967,clGetDeviceInfo|General,START,,,,,,,,,,,24,
344.470496,clGetDeviceInfo|General,END,,,,,,,,,,,24,
344.478862,clGetDeviceInfo|General,START,,,,,,,,,,,25,
344.486765,clGetDeviceInfo|General,END,,,,,,,,,,,25,
344.599195,clRetainDevice|General,START,,,,,,,,,,,26,
344.608006,clRetainDevice|General,END,,,,,,,,,,,26,
344.612982,clRetainDevice|General,START,,,,,,,,,,,27,
344.617563,clRetainDevice|General,END,,,,,,,,,,,27,
344.626155,clCreateProgramWithBinary|General,START,,,,,,,,,,,28,
588.917883,clCreateProgramWithBinary|General,END,,,,,,,,,,,28,
588.937898,clReleaseDevice|General,START,,,,,,,,,,,29,
588.94574,clReleaseDevice|General,END,,,,,,,,,,,29,
588.951044,clReleaseDevice|General,START,,,,,,,,,,,30,
588.956182,clReleaseDevice|General,END,,,,,,,,,,,30,
588.960978,clReleaseDevice|General,START,,,,,,,,,,,31,
588.965922,clReleaseDevice|General,END,,,,,,,,,,,31,
588.991904,clCreateKernel|General,START,,,,,,,,,,,32,
590.3162,clCreateKernel|General,END,,,,,,,,,,,32,
590.326595,clCreateKernel|General,START,,,,,,,,,,,33,
591.548242,clCreateKernel|General,END,,,,,,,,,,,33,
591.555941,clCreateKernel|General,START,,,,,,,,,,,34,
592.773583,clCreateKernel|General,END,,,,,,,,,,,34,
592.781028,clCreateKernel|General,START,,,,,,,,,,,35,
593.996481,clCreateKernel|General,END,,,,,,,,,,,35,
594.003521,clCreateKernel|General,START,,,,,,,,,,,36,
595.236151,clCreateKernel|General,END,,,,,,,,,,,36,
595.24384,clCreateKernel|General,START,,,,,,,,,,,37,
596.458642,clCreateKernel|General,END,,,,,,,,,,,37,
596.465927,clCreateKernel|General,START,,,,,,,,,,,38,
597.684344,clCreateKernel|General,END,,,,,,,,,,,38,
597.691075,clCreateKernel|General,START,,,,,,,,,,,39,
598.905548,clCreateKernel|General,END,,,,,,,,,,,39,
598.912398,clCreateKernel|General,START,,,,,,,,,,,40,
600.134396,clCreateKernel|General,END,,,,,,,,,,,40,
600.141217,clCreateKernel|General,START,,,,,,,,,,,41,
601.357133,clCreateKernel|General,END,,,,,,,,,,,41,
601.363826,clCreateKernel|General,START,,,,,,,,,,,42,
602.579971,clCreateKernel|General,END,,,,,,,,,,,42,
602.729255,clCreateBuffer|General,START,,,,,,,,,,,43,
602.785787,clCreateBuffer|General,END,,,,,,,,,,,43,
602.797117,clEnqueueWriteBuffer|35306080,START,,,,,,,,,,,44,
602.935627,clEnqueueWriteBuffer|35306080,END,,,,,,,,,,,44,
603.017076,clCreateBuffer|General,START,,,,,,,,,,,45,
603.054272,clCreateBuffer|General,END,,,,,,,,,,,45,
603.061989,clEnqueueWriteBuffer|35306080,START,,,,,,,,,,,46,
603.186189,clEnqueueWriteBuffer|35306080,END,,,,,,,,,,,46,
603.277658,clCreateBuffer|General,START,,,,,,,,,,,47,
603.311281,clCreateBuffer|General,END,,,,,,,,,,,47,
603.318762,clEnqueueWriteBuffer|35306080,START,,,,,,,,,,,48,
603.384081,clEnqueueWriteBuffer|35306080,END,,,,,,,,,,,48,
603.470984,clCreateBuffer|General,START,,,,,,,,,,,49,
603.502953,clCreateBuffer|General,END,,,,,,,,,,,49,
603.510175,clEnqueueWriteBuffer|35306080,START,,,,,,,,,,,50,
603.581176,clEnqueueWriteBuffer|35306080,END,,,,,,,,,,,50,
603.666265,clCreateBuffer|General,START,,,,,,,,,,,51,
603.703416,clCreateBuffer|General,END,,,,,,,,,,,51,
603.711029,clEnqueueWriteBuffer|35306080,START,,,,,,,,,,,52,
603.774878,clEnqueueWriteBuffer|35306080,END,,,,,,,,,,,52,
603.850758,clCreateBuffer|General,START,,,,,,,,,,,53,
603.881772,clCreateBuffer|General,END,,,,,,,,,,,53,
